Symbol,Shares,PricePerShare,Sector
HSAI,125535000.0,8.91,consumer-cyclical
ALZN,7120700.0,0.89,healthcare
EVRG,229720992.0,52.2,utilities
CRUS,53897700.0,83.19,technology
TNDM,65209700.0,29.58,healthcare
KRKR,38978700.0,0.56,communication-services
WTBA,16725100.0,21.2,financial-services
DSGX,85108096.0,84.06,technology
ARVL,18375100.0,1.14,consumer-cyclical
EPRT,156024000.0,25.56,real-estate
PRT,12165700.0,4.42,energy
SAN,15911300096.0,4.14,financial-services
REVG,59505800.0,18.17,industrials
VRTS,7184990.0,241.76,financial-services
OR,185166000.0,14.28,basic-materials
CEV,7033580.0,10.34,financial-services
DLR,302852000.0,134.58,real-estate
ELIQ,41737300.0,0.3175,utilities
GDEV,197434000.0,2.21,communication-services
KNX,161368992.0,57.65,industrials
ATEC,136300992.0,15.11,healthcare
NB,33725100.0,3.19,basic-materials
BRAC,7513480.0,11.11,financial-services
OAKU,6093120.0,10.53,financial-services
WAB,179159008.0,126.9,industrials
AXSM,47319500.0,79.59,healthcare
FEMY,21649600.0,0.975,healthcare
EGOX,0.0,0.461,consumer-cyclical
NECB,14196400.0,17.74,financial-services
GDST,7596250.0,10.75,financial-services
ITCL,649022016.0,3.04,financial-services
MOV,15596900.0,30.15,consumer-cyclical
EXP,34886900.0,202.84,basic-materials
AEHL,2095180.0,2.594,industrials
SNY,2507849984.0,49.73,healthcare
WTER,13023800.0,0.262,consumer-defensive
PAY,20390500.0,17.87,technology
SANW,43039200.0,0.7,consumer-defensive
GCMG,186880000.0,8.96,financial-services
ACRS,70836200.0,1.05,healthcare
RDZN,68440800.0,5.09,technology
LAZ,87414896.0,34.8,financial-services
NHS,25928900.0,7.72,financial-services
BYTS,10959900.0,6.49,financial-services
ALAR,5905830.0,7.76,technology
LOMA,116697000.0,7.09,basic-materials
SKYX,92166400.0,1.6,industrials
CLX,124059000.0,142.59,consumer-defensive
AMPG,9687110.0,1.88,technology
LEVI,100041000.0,16.54,consumer-cyclical
TEAM,155011008.0,237.86,technology
ESSA,10131500.0,20.02,financial-services
SND,41229300.0,1.93,energy
NOK,5537059840.0,3.42,technology
PEV,21291900.0,1.0453,consumer-cyclical
JNPR,318868000.0,29.48,technology
PRTH,76722600.0,3.56,technology
SQSP,88125296.0,33.01,technology
TRTX,77734800.0,6.5,real-estate
RPID,37099600.0,0.74,healthcare
SWK,153311008.0,98.1,industrials
LANC,27517000.0,166.39,consumer-defensive
BFAC,11436900.0,10.85,financial-services
CCBG,16958100.0,29.43,financial-services
NX,33002100.0,30.57,industrials
BHR,65993900.0,2.5,real-estate
DOMH,5285160.0,2.59,healthcare
COEP,34108000.0,0.7839,healthcare
JAN,4957650.0,0.555,industrials
YALA,156239008.0,6.13,technology
DFIN,29107600.0,62.37,financial-services
HUYA,237932000.0,3.66,communication-services
ACLS,32747500.0,129.69,technology
VGI,11313100.0,7.83,financial-services
NKGN,21889000.0,2.75,healthcare
CNXC,66915100.0,98.21,technology
STRO,60953200.0,4.29,healthcare
REAL,103353000.0,2.01,consumer-cyclical
OPAL,27975300.0,5.52,utilities
PHR,55634900.0,23.15,healthcare
UG,4594320.0,7.2,consumer-defensive
DB,2009299968.0,13.55,financial-services
NOTE,121644000.0,1.14,technology
HI,69921400.0,47.85,industrials
NFBK,44956100.0,12.58,financial-services
LZM,78193600.0,9.04,basic-materials
PR,540152000.0,13.6,energy
CLGN,11452700.0,6.39,healthcare
MSM,56409400.0,101.26,industrials
VCTR,65989400.0,34.44,financial-services
WEA,11865600.0,10.8,financial-services
PYXS,44323000.0,1.8,healthcare
FRST,24681800.0,12.66,financial-services
AVA,77367600.0,35.74,utilities
TIXT,74000000.0,8.58,technology
RNA,79176600.0,9.05,healthcare
BLZE,37600000.0,7.59,technology
NERV,6993410.0,6.15,healthcare
MTRN,20642400.0,130.13,basic-materials
WAFU,4410560.0,2.165,consumer-defensive
MIXT,22160800.0,8.61,technology
AACI,8072850.0,10.77,financial-services
TLS,69623200.0,3.65,technology
FANH,56737600.0,6.65,financial-services
GDDY,140824992.0,106.16,technology
ONTO,49081000.0,152.9,technology
DHAC,3583970.0,12.2,financial-services
FLJ,189192992.0,2.0,real-estate
GTH,31624400.0,3.68,healthcare
CLRB,12288300.0,2.77,healthcare
JRSH,12294800.0,3.1145,consumer-cyclical
BNED,53149500.0,1.49,consumer-cyclical
UMBF,48530800.0,83.55,financial-services
PLCE,12477300.0,23.22,consumer-cyclical
PK,209984000.0,15.3,real-estate
DMRC,20357900.0,36.12,technology
ODP,37378100.0,56.3,consumer-cyclical
MYFW,9561770.0,19.83,financial-services
ITW,300886016.0,261.94,industrials
TCRT,240627008.0,0.0707,healthcare
PLSE,55080500.0,12.24,healthcare
SUI,124445000.0,133.65,real-estate
R,44322200.0,115.06,industrials
HCI,9738180.0,87.4,financial-services
AMRC,34234500.0,31.67,industrials
CVU,12672400.0,2.73,industrials
PCYO,24085700.0,10.47,utilities
ATER,90213296.0,0.3485,consumer-cyclical
MUX,49394900.0,7.21,basic-materials
HIX,67108700.0,4.96,financial-services
ALTR,54627200.0,84.15,technology
WPM,452996000.0,49.34,basic-materials
CCTS,5074870.0,10.93,financial-services
SWAG,18573100.0,1.48,communication-services
CYCN,2445100.0,3.35,healthcare
ORC,51826300.0,8.43,real-estate
AUR,1144109952.0,4.37,technology
HHS,7216310.0,6.79,industrials
LIZI,5291780.0,2.74,communication-services
NKX,47520300.0,11.54,financial-services
SOHOO,0.0,21.0,real-estate
KREF,69313904.0,13.23,real-estate
BRAG,22732500.0,5.05,communication-services
CDP,112546000.0,25.63,real-estate
ISRL,14375000.0,10.74,financial-services
RARE,82114400.0,47.82,healthcare
FATH,3507080.0,4.4583,industrials
GLV,12709600.0,5.148,financial-services
MSSA,6407420.0,10.94,financial-services
SATS,36219800.0,16.57,technology
ITRG,68777504.0,1.06,basic-materials
CRIS,5894080.0,12.75,healthcare
SHOO,74608200.0,42.0,consumer-cyclical
CYCC,1019310.0,2.67,healthcare
WNW,2876290.0,3.38,consumer-cyclical
PFIE,47588000.0,1.81,energy
GNE,25843700.0,28.13,utilities
COLD,283520000.0,30.27,real-estate
CMCM,29950700.0,2.28,communication-services
